Angle,Mean Objects Int (nm),Mean Holes Int (nm),Mean Objects Inv Int (1/nm),Mean Holes Inv Int (1/nm),Total Line Length (nm),Total Intersections
0.000000,989.069880,4730.219645,0.001968,0.001303,8926678.116000,314.000000
10.000000,1058.795050,3670.921583,0.002219,0.002295,11033050.752000,354.000000
20.000000,1090.956672,445.771600,0.002514,0.005225,12778195.653000,420.000000
30.000000,969.803329,2186.430500,0.002489,0.005043,13996238.265000,406.000000
40.000000,784.818479,5303.437500,0.002121,0.004192,14535797.268000,492.000000
50.000000,636.851405,8986.144500,0.002285,0.000111,14368921.425000,532.000000
60.000000,550.237533,8290.333500,0.002475,0.000121,13449924.804000,574.000000
70.000000,499.841818,5893.179750,0.002445,0.003778,11892767.670000,614.000000
80.000000,464.760677,6041.676000,0.002603,0.001117,9825088.914000,658.000000
90.000000,452.163320,4199.110286,0.002539,0.002571,7435029.042000,678.000000
100.000000,441.043964,3801.504000,0.002717,0.004210,9825088.914000,688.000000
110.000000,452.871394,2264.214250,0.002612,0.005729,11892767.670000,688.000000
120.000000,473.828144,1827.564563,0.002550,0.002958,13449924.804000,666.000000
130.000000,514.215387,1575.217364,0.002301,0.003518,14368921.425000,622.000000
140.000000,577.014000,2062.542200,0.002092,0.002339,14535797.268000,552.000000
150.000000,647.800934,2677.076581,0.001987,0.002017,13996238.265000,514.000000
160.000000,745.438318,3416.313727,0.002018,0.001928,12778195.653000,448.000000
170.000000,863.436842,3216.657231,0.001917,0.002036,11033050.752000,384.000000
180.000000,962.387942,4667.694908,0.002152,0.001787,8926678.116000,312.000000
